index,dateTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore
0,2022-05-24 12:30:00,1959.28000000,1969.22000000,1958.42000000,1966.70000000,8205.98140000,1653397199999,16127666.36865700,11187,4852.51970000,9536132.18156200,0
1,2022-05-24 13:00:00,1966.69000000,1968.55000000,1957.16000000,1957.16000000,7730.06510000,1653398999999,15181254.75968900,10475,3661.68040000,7190465.30771000,0
2,2022-05-24 13:30:00,1957.16000000,1967.36000000,1927.04000000,1931.99000000,37824.94200000,1653400799999,73686474.70378400,38933,17589.64530000,34275183.60629900,0
3,2022-05-24 14:00:00,1931.99000000,1935.43000000,1913.02000000,1928.44000000,40781.77900000,1653402599999,78428623.03943300,40141,19379.60590000,37270581.55740200,0
4,2022-05-24 14:30:00,1928.45000000,1942.08000000,1925.40000000,1936.86000000,22772.41350000,1653404399999,44023840.29663900,22169,11127.80790000,21511971.21252100,0
5,2022-05-24 15:00:00,1936.86000000,1941.78000000,1930.16000000,1940.72000000,17520.96870000,1653406199999,33924537.80169100,15933,8748.23760000,16937030.44393500,0
6,2022-05-24 15:30:00,1940.72000000,1975.55000000,1938.32000000,1962.72000000,31832.15640000,1653407999999,62332054.65357400,28744,15425.23890000,30195030.80856800,0
7,2022-05-24 16:00:00,1962.71000000,1976.99000000,1958.14000000,1962.13000000,21395.36280000,1653409799999,42119737.62737200,19859,10648.54450000,20965071.39070200,0
8,2022-05-24 16:30:00,1962.13000000,1964.53000000,1950.71000000,1958.79000000,12335.57540000,1653411599999,24147489.87135900,14131,5877.14700000,11504769.90530200,0
9,2022-05-24 17:00:00,1958.78000000,1958.89000000,1934.90000000,1942.01000000,20050.96160000,1653413399999,38963799.80991700,15686,9867.49460000,19164724.58198800,0
10,2022-05-24 17:30:00,1942.00000000,1962.18000000,1938.65000000,1958.57000000,11476.84680000,1653415199999,22386891.23718700,12949,6169.81360000,12035596.24883100,0
11,2022-05-24 18:00:00,1958.56000000,1973.18000000,1956.88000000,1961.47000000,13009.80980000,1653416999999,25550162.45643600,14223,7059.98770000,13867928.08488200,0
12,2022-05-24 18:30:00,1961.47000000,1969.67000000,1940.34000000,1944.57000000,13920.11840000,1653418799999,27188851.92062400,15427,7090.62350000,13849558.80097500,0
13,2022-05-24 19:00:00,1944.57000000,1963.44000000,1943.39000000,1959.41000000,12794.36310000,1653420599999,24966532.22687800,14968,6680.88690000,13036067.62525100,0
14,2022-05-24 19:30:00,1959.42000000,1970.00000000,1957.55000000,1962.85000000,11607.98410000,1653422399999,22807424.38493300,13598,5980.93410000,11750614.51577000,0
15,2022-05-24 20:00:00,1962.85000000,1965.78000000,1951.53000000,1959.03000000,6316.29460000,1653424199999,12375120.81306000,8990,3046.28710000,5968724.31540000,0
16,2022-05-24 20:30:00,1959.02000000,1973.48000000,1956.80000000,1970.31000000,6200.51590000,1653425999999,12189404.07773600,8637,3236.89310000,6361719.55114500,0
17,2022-05-24 21:00:00,1970.31000000,1979.99000000,1969.13000000,1974.44000000,5567.82050000,1653427799999,10988330.31156700,8480,2740.58240000,5408108.49365200,0
18,2022-05-24 21:30:00,1974.44000000,1986.55000000,1970.00000000,1983.57000000,5123.12610000,1653429599999,10133911.89253200,8886,2822.82660000,5583729.48794300,0
19,2022-05-24 22:00:00,1983.56000000,1987.87000000,1981.10000000,1982.51000000,18479.89710000,1653431399999,36682083.11747400,13348,9411.74950000,18683231.74752200,0
20,2022-05-24 22:30:00,1982.51000000,1983.70000000,1979.00000000,1982.88000000,4547.53900000,1653433199999,9009136.22111000,5606,2403.85380000,4762054.12367900,0
21,2022-05-24 23:00:00,1982.88000000,1990.00000000,1978.06000000,1979.41000000,18229.44400000,1653434999999,36225505.33458700,13790,11620.66180000,23100443.17385100,0
22,2022-05-24 23:30:00,1979.41000000,1981.96000000,1976.08000000,1979.41000000,5347.43470000,1653436799999,10580149.51489500,6172,2688.75750000,5319458.41140100,0
23,2022-05-25 00:00:00,1979.40000000,1986.77000000,1972.76000000,1976.57000000,9482.73300000,1653438599999,18762459.71979700,10626,4325.45080000,8556532.07413400,0
24,2022-05-25 00:30:00,1976.56000000,1979.68000000,1973.65000000,1974.95000000,4695.54090000,1653440399999,9281020.41181400,5614,2447.82290000,4838965.90010000,0
25,2022-05-25 01:00:00,1974.96000000,1980.56000000,1970.23000000,1971.14000000,4631.30450000,1653442199999,9144660.25147000,6076,2393.63650000,4726356.12088000,0
26,2022-05-25 01:30:00,1971.15000000,1987.50000000,1971.14000000,1986.33000000,6814.95650000,1653443999999,13484876.10854700,7374,4005.38690000,7925670.72227800,0
27,2022-05-25 02:00:00,1986.32000000,2004.57000000,1979.99000000,2000.36000000,18249.48330000,1653445799999,36374607.72412200,18995,10580.22100000,21087433.29951900,0
28,2022-05-25 02:30:00,2000.35000000,2020.00000000,1998.80000000,2015.44000000,21175.32480000,1653447599999,42595513.06057300,20035,11647.88910000,23430946.94883700,0
29,2022-05-25 03:00:00,2015.45000000,2019.84000000,2010.57000000,2012.83000000,9037.89030000,1653449399999,18213957.36755800,12029,4143.93010000,8350871.93984800,0
30,2022-05-25 03:30:00,2012.83000000,2022.34000000,2008.82000000,2014.20000000,9236.12270000,1653451199999,18606155.81056100,12080,4608.83580000,9284409.87987400,0
31,2022-05-25 04:00:00,2014.20000000,2015.30000000,2006.98000000,2008.25000000,6303.79550000,1653452999999,12669220.19866500,9486,2775.26170000,5577264.78336800,0
32,2022-05-25 04:30:00,2008.25000000,2009.00000000,2002.94000000,2006.15000000,6662.25430000,1653454799999,13362347.97465700,9334,2954.76350000,5926153.44677200,0
33,2022-05-25 05:00:00,2006.16000000,2011.64000000,2003.63000000,2006.82000000,5215.02150000,1653456599999,10468550.76566100,7718,2612.25170000,5244105.76159600,0
34,2022-05-25 05:30:00,2006.82000000,2006.82000000,1985.42000000,1987.56000000,11269.66890000,1653458399999,22465721.03466700,16404,4829.00280000,9624314.36417900,0
35,2022-05-25 06:00:00,1987.56000000,1989.98000000,1973.33000000,1977.79000000,10412.10610000,1653460199999,20625026.70810700,13322,4757.36760000,9424652.53576900,0
36,2022-05-25 06:30:00,1977.79000000,1988.05000000,1975.19000000,1984.83000000,6590.51180000,1653461999999,13073619.32211400,8205,3770.19290000,7478347.83385300,0
37,2022-05-25 07:00:00,1984.82000000,1987.33000000,1978.87000000,1979.45000000,5358.98860000,1653463799999,10625451.09118900,6486,2434.36290000,4826643.65277500,0
38,2022-05-25 07:30:00,1979.46000000,1981.93000000,1974.42000000,1977.04000000,5039.79060000,1653465599999,9966551.15250100,7869,2569.07570000,5080628.11872400,0
39,2022-05-25 08:00:00,1977.04000000,1978.00000000,1961.47000000,1975.26000000,10575.06320000,1653467399999,20850733.87378000,13577,4984.32070000,9826836.89612700,0
40,2022-05-25 08:30:00,1975.27000000,1981.98000000,1968.46000000,1976.69000000,9408.04130000,1653469199999,18581398.97360300,11733,5042.08210000,9956088.58646700,0
41,2022-05-25 09:00:00,1976.68000000,1980.74000000,1963.95000000,1966.79000000,12255.14490000,1653470999999,24137521.19586700,13163,5611.42460000,11051860.35016400,0
42,2022-05-25 09:30:00,1966.79000000,1978.74000000,1965.90000000,1975.30000000,6723.65830000,1653472799999,13265137.57499100,9490,3660.40210000,7220129.58496100,0
43,2022-05-25 10:00:00,1975.30000000,1978.42000000,1966.00000000,1971.56000000,6718.86310000,1653474599999,13247528.73928900,8932,3144.87650000,6200729.96773300,0
44,2022-05-25 10:30:00,1971.55000000,1971.56000000,1962.40000000,1963.44000000,6545.58300000,1653476399999,12871143.42009600,8156,3075.42930000,6046284.06371100,0
45,2022-05-25 11:00:00,1963.44000000,1966.64000000,1947.02000000,1949.40000000,12075.73820000,1653478199999,23620325.00151800,16190,5576.60130000,10908182.48497200,0
46,2022-05-25 11:30:00,1949.40000000,1951.35000000,1942.30000000,1944.07000000,12758.50200000,1653479999999,24828254.86366700,15155,6556.45470000,12757525.37090900,0
47,2022-05-25 12:00:00,1944.08000000,1949.30000000,1934.61000000,1948.16000000,8362.55960000,1653481799999,16244737.90412200,9488,3827.99370000,7435183.22653200,0
